"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 11 00:27:49 YEKT 2024","Tue Jun 11 00:27:53 YEKT 2024","3842","","tests.LoginTests","","tests.LoginTests","testLoginFromMainPage","testLoginFromMainPage",""
"passed","Tue Jun 11 00:28:34 YEKT 2024","Tue Jun 11 00:28:40 YEKT 2024","6283","","tests.MainPageTests","","tests.MainPageTests","testBunTabOpens","testBunTabOpens",""
"passed","Tue Jun 11 00:30:18 YEKT 2024","Tue Jun 11 00:30:26 YEKT 2024","8267","","tests.ProfileTests","","tests.ProfileTests","goToMainPageByLogoFromProfile","goToMainPageByLogoFromProfile",""
"passed","Tue Jun 11 00:30:40 YEKT 2024","Tue Jun 11 00:30:47 YEKT 2024","6772","","tests.RegistrationTests","","tests.RegistrationTests","testRegistrationWithShortPassword","testRegistrationWithShortPassword",""
"passed","Tue Jun 11 00:28:28 YEKT 2024","Tue Jun 11 00:28:34 YEKT 2024","5758","","tests.MainPageTests","","tests.MainPageTests","testFillingTabOpens","testFillingTabOpens",""
"passed","Tue Jun 11 00:30:26 YEKT 2024","Tue Jun 11 00:30:33 YEKT 2024","7151","","tests.ProfileTests","","tests.ProfileTests","goToProfileFromMainPage","goToProfileFromMainPage",""
"passed","Tue Jun 11 00:30:04 YEKT 2024","Tue Jun 11 00:30:18 YEKT 2024","14185","","tests.ProfileTests","","tests.ProfileTests","goToMainPageByButtonFromProfile","goToMainPageByButtonFromProfile",""
"passed","Tue Jun 11 00:28:40 YEKT 2024","Tue Jun 11 00:30:04 YEKT 2024","83766","","tests.MainPageTests","","tests.MainPageTests","testSauceTabOpens","testSauceTabOpens",""
"broken","Tue Jun 11 00:28:21 YEKT 2024","Tue Jun 11 00:28:28 YEKT 2024","7054","","tests.LoginTests","","tests.LoginTests","testLogout","testLogout",""
"passed","Tue Jun 11 00:27:53 YEKT 2024","Tue Jun 11 00:28:21 YEKT 2024","27757","","tests.LoginTests","","tests.LoginTests","testLoginAfterPasswordRecovery","testLoginAfterPasswordRecovery",""
"passed","Tue Jun 11 00:30:33 YEKT 2024","Tue Jun 11 00:30:40 YEKT 2024","6697","","tests.RegistrationTests","","tests.RegistrationTests","testSuccessfulRegistration","testSuccessfulRegistration",""
"passed","Tue Jun 11 00:27:23 YEKT 2024","Tue Jun 11 00:27:49 YEKT 2024","25790","","tests.LoginTests","","tests.LoginTests","testLoginFromRegistrationPage","testLoginFromRegistrationPage",""
